"","wkt_geom","id","left","top","right","bottom","x","y","area","Nhat"
"38","Point (3457271.61125410441309214 -1549009.30706091457977891)","872",3457071.6112541,-1548809.30706091,3457471.6112541,-1549209.30706091,3457271.611,-1549009.307,160000,0.924774503024688
"39","Point (3457222.60658413171768188 -1548659.05750391399487853)","871",3457071.6112541,-1548409.30706091,3457471.6112541,-1548809.30706091,3457222.607,-1548659.058,160000,0.796516023498309
"40","Point (3457098.66417726641520858 -1548369.26200903183780611)","870",3457071.6112541,-1548009.30706091,3457471.6112541,-1548409.30706091,3457098.664,-1548369.262,160000,0.732422924371016
"41","Point (3457271.61125410441309214 -1554209.30706091457977891)","885",3457071.6112541,-1554009.30706091,3457471.6112541,-1554409.30706091,3457271.611,-1554209.307,160000,10.7889069115949
"42","Point (3457271.61125410441309214 -1553809.30706091457977891)","884",3457071.6112541,-1553609.30706091,3457471.6112541,-1554009.30706091,3457271.611,-1553809.307,160000,10.7318119232993
"43","Point (3457271.61125410441309214 -1553409.30706091457977891)","883",3457071.6112541,-1553209.30706091,3457471.6112541,-1553609.30706091,3457271.611,-1553409.307,160000,10.5052405197034
"44","Point (3457271.61125410441309214 -1553009.30706091457977891)","882",3457071.6112541,-1552809.30706091,3457471.6112541,-1553209.30706091,3457271.611,-1553009.307,160000,9.99548107907106
"45","Point (3457271.61125410441309214 -1552609.30706091457977891)","881",3457071.6112541,-1552409.30706091,3457471.6112541,-1552809.30706091,3457271.611,-1552609.307,160000,9.14021557938233
"46","Point (3457271.61125410441309214 -1552209.30706091457977891)","880",3457071.6112541,-1552009.30706091,3457471.6112541,-1552409.30706091,3457271.611,-1552209.307,160000,7.96584679452203
"47","Point (3457271.61125410441309214 -1551809.30706091457977891)","879",3457071.6112541,-1551609.30706091,3457471.6112541,-1552009.30706091,3457271.611,-1551809.307,160000,6.59547733164383
"48","Point (3457271.61125410441309214 -1551409.30706091457977891)","878",3457071.6112541,-1551209.30706091,3457471.6112541,-1551609.30706091,3457271.611,-1551409.307,160000,5.2015945998922
"49","Point (3456871.61125410441309214 -1553409.30706091457977891)","780",3456671.6112541,-1553209.30706091,3457071.6112541,-1553609.30706091,3456871.611,-1553409.307,160000,12.322937600404
"50","Point (3456871.61125410441309214 -1553009.30706091457977891)","779",3456671.6112541,-1552809.30706091,3457071.6112541,-1553209.30706091,3456871.611,-1553009.307,160000,11.7473244371377
"51","Point (3456871.61125410441309214 -1552609.30706091457977891)","778",3456671.6112541,-1552409.30706091,3457071.6112541,-1552809.30706091,3456871.611,-1552609.307,160000,10.769309727827
"52","Point (3456871.61125410441309214 -1552209.30706091457977891)","777",3456671.6112541,-1552009.30706091,3457071.6112541,-1552409.30706091,3456871.611,-1552209.307,160000,9.40484832643493
"53","Point (3456871.61125410441309214 -1551809.30706091457977891)","776",3456671.6112541,-1551609.30706091,3457071.6112541,-1552009.30706091,3456871.611,-1551809.307,160000,7.79106951767977
"54","Point (3456871.61125410441309214 -1551409.30706091457977891)","775",3456671.6112541,-1551209.30706091,3457071.6112541,-1551609.30706091,3456871.611,-1551409.307,160000,6.13499652981631
"55","Point (3456871.61125410441309214 -1551009.30706091457977891)","774",3456671.6112541,-1550809.30706091,3457071.6112541,-1551209.30706091,3456871.611,-1551009.307,160000,4.62705376263783
"56","Point (3456871.61125410441309214 -1550609.30706091457977891)","773",3456671.6112541,-1550409.30706091,3457071.6112541,-1550809.30706091,3456871.611,-1550609.307,160000,3.38334519128902
"57","Point (3456998.07924023875966668 -1556545.961124487221241)","788",3456671.6112541,-1556409.30706091,3457071.6112541,-1556809.30706091,3456998.079,-1556545.961,160000,17.1547047507955
"58","Point (3456894.99144359678030014 -1556190.27133682765997946)","787",3456671.6112541,-1556009.30706091,3457071.6112541,-1556409.30706091,3456894.991,-1556190.271,160000,16.1009769777954
