"","wkt_geom","id","left","top","right","bottom","x","y","area","Nhat"
"953","Point (3464871.61125410441309214 -1555009.30706091457977891)","2844",3464671.6112541,-1554809.30706091,3465071.6112541,-1555209.30706091,3464871.611,-1555009.307,160000,0.256086424268261
"954","Point (3464871.61125410441309214 -1554609.30706091457977891)","2843",3464671.6112541,-1554409.30706091,3465071.6112541,-1554809.30706091,3464871.611,-1554609.307,160000,0.177763343365602
"955","Point (3464871.61125410441309214 -1554209.30706091457977891)","2842",3464671.6112541,-1554009.30706091,3465071.6112541,-1554409.30706091,3464871.611,-1554209.307,160000,0.123771274377249
"956","Point (3464871.61125410441309214 -1553809.30706091457977891)","2841",3464671.6112541,-1553609.30706091,3465071.6112541,-1554009.30706091,3464871.611,-1553809.307,160000,0.0875447167169905
"957","Point (3464871.61125410441309214 -1553409.30706091457977891)","2840",3464671.6112541,-1553209.30706091,3465071.6112541,-1553609.30706091,3464871.611,-1553409.307,160000,0.0636763087667424
"958","Point (3464871.61125410441309214 -1553009.30706091457977891)","2839",3464671.6112541,-1552809.30706091,3465071.6112541,-1553209.30706091,3464871.611,-1553009.307,160000,0.0482021413527091
"959","Point (3464871.61125410441309214 -1552609.30706091457977891)","2838",3464671.6112541,-1552409.30706091,3465071.6112541,-1552809.30706091,3464871.611,-1552609.307,160000,0.0384322747245269
"960","Point (3464471.61125410441309214 -1545809.30706091457977891)","2718",3464271.6112541,-1545609.30706091,3464671.6112541,-1546009.30706091,3464471.611,-1545809.307,160000,4.06582458460988
"961","Point (3464471.61125410441309214 -1545409.30706091457977891)","2717",3464271.6112541,-1545209.30706091,3464671.6112541,-1545609.30706091,3464471.611,-1545409.307,160000,4.38552030374826
"962","Point (3464471.61125410441309214 -1545009.30706091457977891)","2716",3464271.6112541,-1544809.30706091,3464671.6112541,-1545209.30706091,3464471.611,-1545009.307,160000,4.56069199060953
"963","Point (3464393.64858707180246711 -1544644.73162540444172919)","2715",3464271.6112541,-1544409.30706091,3464671.6112541,-1544809.30706091,3464393.649,-1544644.732,160000,4.64748624261592
"964","Point (3464324.09780757827684283 -1544318.99732735543511808)","2714",3464271.6112541,-1544009.30706091,3464671.6112541,-1544409.30706091,3464324.098,-1544318.997,160000,4.70215897352296
"965","Point (3464084.12248366512358189 -1568445.36610206007026136)","2672",3463871.6112541,-1568409.30706091,3464271.6112541,-1568809.30706091,3464084.122,-1568445.366,160000,0.436717399297839
"966","Point (3464078.21784263709560037 -1568203.89387508202344179)","2671",3463871.6112541,-1568009.30706091,3464271.6112541,-1568409.30706091,3464078.218,-1568203.894,160000,0.435200509388808
"967","Point (3464071.61125410441309214 -1567809.30706091457977891)","2670",3463871.6112541,-1567609.30706091,3464271.6112541,-1568009.30706091,3464071.611,-1567809.307,160000,0.428672563514348
"968","Point (3464471.61125410441309214 -1549009.30706091457977891)","2726",3464271.6112541,-1548809.30706091,3464671.6112541,-1549209.30706091,3464471.611,-1549009.307,160000,0.289281871468453
"969","Point (3464471.61125410441309214 -1548609.30706091457977891)","2725",3464271.6112541,-1548409.30706091,3464671.6112541,-1548809.30706091,3464471.611,-1548609.307,160000,0.478073292165713
"970","Point (3464471.61125410441309214 -1548209.30706091457977891)","2724",3464271.6112541,-1548009.30706091,3464671.6112541,-1548409.30706091,3464471.611,-1548209.307,160000,0.768889438092431
"971","Point (3464471.61125410441309214 -1547809.30706091457977891)","2723",3464271.6112541,-1547609.30706091,3464671.6112541,-1548009.30706091,3464471.611,-1547809.307,160000,1.18224722535368
"972","Point (3464471.61125410441309214 -1547409.30706091457977891)","2722",3464271.6112541,-1547209.30706091,3464671.6112541,-1547609.30706091,3464471.611,-1547409.307,160000,1.71771214207818
"973","Point (3464471.61125410441309214 -1547009.30706091457977891)","2721",3464271.6112541,-1546809.30706091,3464671.6112541,-1547209.30706091,3464471.611,-1547009.307,160000,2.34286488344605
"974","Point (3464471.61125410441309214 -1546609.30706091457977891)","2720",3464271.6112541,-1546409.30706091,3464671.6112541,-1546809.30706091,3464471.611,-1546609.307,160000,2.99369066328635
"975","Point (3464471.61125410441309214 -1546209.30706091457977891)","2719",3464271.6112541,-1546009.30706091,3464671.6112541,-1546409.30706091,3464471.611,-1546209.307,160000,3.59077048799817
"976","Point (3464071.61125410441309214 -1564209.30706091457977891)","2661",3463871.6112541,-1564009.30706091,3464271.6112541,-1564409.30706091,3464071.611,-1564209.307,160000,0.214065125315455
"977","Point (3464071.61125410441309214 -1563809.30706091457977891)","2660",3463871.6112541,-1563609.30706091,3464271.6112541,-1564009.30706091,3464071.611,-1563809.307,160000,0.186967591419165
"978","Point (3464071.61125410441309214 -1563409.30706091457977891)","2659",3463871.6112541,-1563209.30706091,3464271.6112541,-1563609.30706091,3464071.611,-1563409.307,160000,0.163811299606637
"979","Point (3464071.61125410441309214 -1563009.30706091457977891)","2658",3463871.6112541,-1562809.30706091,3464271.6112541,-1563209.30706091,3464071.611,-1563009.307,160000,0.146755904645819
"980","Point (3464071.61125410441309214 -1562609.30706091457977891)","2657",3463871.6112541,-1562409.30706091,3464271.6112541,-1562809.30706091,3464071.611,-1562609.307,160000,0.137358541211662
"981","Point (3464071.61125410441309214 -1562209.30706091457977891)","2656",3463871.6112541,-1562009.30706091,3464271.6112541,-1562409.30706091,3464071.611,-1562209.307,160000,0.135883847729136
"982","Point (3464071.61125410441309214 -1561809.30706091457977891)","2655",3463871.6112541,-1561609.30706091,3464271.6112541,-1562009.30706091,3464071.611,-1561809.307,160000,0.142898898651323
"983","Point (3464071.61125410441309214 -1561409.30706091457977891)","2654",3463871.6112541,-1561209.30706091,3464271.6112541,-1561609.30706091,3464071.611,-1561409.307,160000,0.159957822572201
"984","Point (3464071.61125410441309214 -1567409.30706091457977891)","2669",3463871.6112541,-1567209.30706091,3464271.6112541,-1567609.30706091,3464071.611,-1567409.307,160000,0.415304650196068
"985","Point (3464071.61125410441309214 -1567009.30706091457977891)","2668",3463871.6112541,-1566809.30706091,3464271.6112541,-1567209.30706091,3464071.611,-1567009.307,160000,0.398638575981774
"986","Point (3464071.61125410441309214 -1566609.30706091457977891)","2667",3463871.6112541,-1566409.30706091,3464271.6112541,-1566809.30706091,3464071.611,-1566609.307,160000,0.378750992100265
"987","Point (3464071.61125410441309214 -1566209.30706091457977891)","2666",3463871.6112541,-1566009.30706091,3464271.6112541,-1566409.30706091,3464071.611,-1566209.307,160000,0.355835035060808
"988","Point (3464071.61125410441309214 -1565809.30706091457977891)","2665",3463871.6112541,-1565609.30706091,3464271.6112541,-1566009.30706091,3464071.611,-1565809.307,160000,0.330225048544783
"989","Point (3464071.61125410441309214 -1565409.30706091457977891)","2664",3463871.6112541,-1565209.30706091,3464271.6112541,-1565609.30706091,3464071.611,-1565409.307,160000,0.302423904707614
"990","Point (3464071.61125410441309214 -1565009.30706091457977891)","2663",3463871.6112541,-1564809.30706091,3464271.6112541,-1565209.30706091,3464071.611,-1565009.307,160000,0.27313274342606
"991","Point (3464071.61125410441309214 -1564609.30706091457977891)","2662",3463871.6112541,-1564409.30706091,3464271.6112541,-1564809.30706091,3464071.611,-1564609.307,160000,0.243282388959792
"992","Point (3464471.61125410441309214 -1558609.30706091457977891)","2750",3464271.6112541,-1558409.30706091,3464671.6112541,-1558809.30706091,3464471.611,-1558609.307,160000,1.01332117278891
"993","Point (3464471.61125410441309214 -1558209.30706091457977891)","2749",3464271.6112541,-1558009.30706091,3464671.6112541,-1558409.30706091,3464471.611,-1558209.307,160000,1.2403555874155
"994","Point (3464471.61125410441309214 -1557809.30706091457977891)","2748",3464271.6112541,-1557609.30706091,3464671.6112541,-1558009.30706091,3464471.611,-1557809.307,160000,1.4075934396176
"995","Point (3464471.61125410441309214 -1557409.30706091457977891)","2747",3464271.6112541,-1557209.30706091,3464671.6112541,-1557609.30706091,3464471.611,-1557409.307,160000,1.47338550503332
"996","Point (3464471.61125410441309214 -1557009.30706091457977891)","2746",3464271.6112541,-1556809.30706091,3464671.6112541,-1557209.30706091,3464471.611,-1557009.307,160000,1.42154333458967
"997","Point (3464471.61125410441309214 -1556609.30706091457977891)","2745",3464271.6112541,-1556409.30706091,3464671.6112541,-1556809.30706091,3464471.611,-1556609.307,160000,1.27131240096103
"998","Point (3464471.61125410441309214 -1556209.30706091457977891)","2744",3464271.6112541,-1556009.30706091,3464671.6112541,-1556409.30706091,3464471.611,-1556209.307,160000,1.06443702214865
"999","Point (3464471.61125410441309214 -1555809.30706091457977891)","2743",3464271.6112541,-1555609.30706091,3464671.6112541,-1556009.30706091,3464471.611,-1555809.307,160000,0.843254002961512
"1000","Point (3464471.61125410441309214 -1561809.30706091457977891)","2758",3464271.6112541,-1561609.30706091,3464671.6112541,-1562009.30706091,3464471.611,-1561809.307,160000,0.0842202131439304
"1001","Point (3464471.61125410441309214 -1561409.30706091457977891)","2757",3464271.6112541,-1561209.30706091,3464671.6112541,-1561609.30706091,3464471.611,-1561409.307,160000,0.0990546936002007
"1002","Point (3464471.61125410441309214 -1561009.30706091457977891)","2756",3464271.6112541,-1560809.30706091,3464671.6112541,-1561209.30706091,3464471.611,-1561009.307,160000,0.125767476815422
"1003","Point (3464471.61125410441309214 -1560609.30706091457977891)","2755",3464271.6112541,-1560409.30706091,3464671.6112541,-1560809.30706091,3464471.611,-1560609.307,160000,0.172926331591879
"1004","Point (3464471.61125410441309214 -1560209.30706091457977891)","2754",3464271.6112541,-1560009.30706091,3464671.6112541,-1560409.30706091,3464471.611,-1560209.307,160000,0.253697428347121
"1005","Point (3464471.61125410441309214 -1559809.30706091457977891)","2753",3464271.6112541,-1559609.30706091,3464671.6112541,-1560009.30706091,3464471.611,-1559809.307,160000,0.378508395853386
"1006","Point (3464471.61125410441309214 -1559409.30706091457977891)","2752",3464271.6112541,-1559209.30706091,3464671.6112541,-1559609.30706091,3464471.611,-1559409.307,160000,0.55291976054502
"1007","Point (3464471.61125410441309214 -1559009.30706091457977891)","2751",3464271.6112541,-1558809.30706091,3464671.6112541,-1559209.30706091,3464471.611,-1559009.307,160000,0.771724921883547
"1008","Point (3464471.61125410441309214 -1552209.30706091457977891)","2734",3464271.6112541,-1552009.30706091,3464671.6112541,-1552409.30706091,3464471.611,-1552209.307,160000,0.058159057641051
"1009","Point (3464471.61125410441309214 -1551809.30706091457977891)","2733",3464271.6112541,-1551609.30706091,3464671.6112541,-1552009.30706091,3464471.611,-1551809.307,160000,0.0503051183786581
"1010","Point (3464471.61125410441309214 -1551409.30706091457977891)","2732",3464271.6112541,-1551209.30706091,3464671.6112541,-1551609.30706091,3464471.611,-1551409.307,160000,0.0470593077394553
"1011","Point (3464471.61125410441309214 -1551009.30706091457977891)","2731",3464271.6112541,-1550809.30706091,3464671.6112541,-1551209.30706091,3464471.611,-1551009.307,160000,0.0484168895784919
"1012","Point (3464471.61125410441309214 -1550609.30706091457977891)","2730",3464271.6112541,-1550409.30706091,3464671.6112541,-1550809.30706091,3464471.611,-1550609.307,160000,0.0558494617954669
"1013","Point (3464471.61125410441309214 -1550209.30706091457977891)","2729",3464271.6112541,-1550009.30706091,3464671.6112541,-1550409.30706091,3464471.611,-1550209.307,160000,0.073475578802219
"1014","Point (3464471.61125410441309214 -1549809.30706091457977891)","2728",3464271.6112541,-1549609.30706091,3464671.6112541,-1550009.30706091,3464471.611,-1549809.307,160000,0.1090144165103
"1015","Point (3464471.61125410441309214 -1549409.30706091457977891)","2727",3464271.6112541,-1549209.30706091,3464671.6112541,-1549609.30706091,3464471.611,-1549409.307,160000,0.174704087429324
"1016","Point (3464471.61125410441309214 -1555409.30706091457977891)","2742",3464271.6112541,-1555209.30706091,3464671.6112541,-1555609.30706091,3464471.611,-1555409.307,160000,0.639016160082081
"1017","Point (3464471.61125410441309214 -1555009.30706091457977891)","2741",3464271.6112541,-1554809.30706091,3464671.6112541,-1555209.30706091,3464471.611,-1555009.307,160000,0.468940990774364
"1018","Point (3464471.61125410441309214 -1554609.30706091457977891)","2740",3464271.6112541,-1554409.30706091,3464671.6112541,-1554809.30706091,3464471.611,-1554609.307,160000,0.337306323384169
"1019","Point (3464471.61125410441309214 -1554209.30706091457977891)","2739",3464271.6112541,-1554009.30706091,3464671.6112541,-1554409.30706091,3464471.611,-1554209.307,160000,0.240570412253586
"1020","Point (3464471.61125410441309214 -1553809.30706091457977891)","2738",3464271.6112541,-1553609.30706091,3464671.6112541,-1554009.30706091,3464471.611,-1553809.307,160000,0.172048204825067
"1021","Point (3464471.61125410441309214 -1553409.30706091457977891)","2737",3464271.6112541,-1553209.30706091,3464671.6112541,-1553609.30706091,3464471.611,-1553409.307,160000,0.124767971645582
"1022","Point (3464471.61125410441309214 -1553009.30706091457977891)","2736",3464271.6112541,-1552809.30706091,3464671.6112541,-1553209.30706091,3464471.611,-1553009.307,160000,0.0928029015268872
"1023","Point (3464471.61125410441309214 -1552609.30706091457977891)","2735",3464271.6112541,-1552409.30706091,3464671.6112541,-1552809.30706091,3464471.611,-1552609.307,160000,0.0716521624320749
"1024","Point (3465619.06025154236704111 -1546755.09261704375967383)","3029",3465471.6112541,-1546409.30706091,3465871.6112541,-1546809.30706091,3465619.06,-1546755.093,160000,3.261988067802
"1025","Point (3465338.1073159221559763 -1570495.4420066517777741)","2986",3465071.6112541,-1570409.30706091,3465471.6112541,-1570809.30706091,3465338.107,-1570495.442,160000,0.114201526498055
"1026","Point (3465271.61125410441309214 -1570209.30706091457977891)","2985",3465071.6112541,-1570009.30706091,3465471.6112541,-1570409.30706091,3465271.611,-1570209.307,160000,0.122310647075685
"1027","Point (3465271.61125410441309214 -1569809.30706091457977891)","2984",3465071.6112541,-1569609.30706091,3465471.6112541,-1570009.30706091,3465271.611,-1569809.307,160000,0.121581567796828
"1028","Point (3465271.61125410441309214 -1569409.30706091457977891)","2983",3465071.6112541,-1569209.30706091,3465471.6112541,-1569609.30706091,3465271.611,-1569409.307,160000,0.120130838393801
"1029","Point (3465271.61125410441309214 -1569009.30706091457977891)","2982",3465071.6112541,-1568809.30706091,3465471.6112541,-1569209.30706091,3465271.611,-1569009.307,160000,0.117928438822274
"1030","Point (3465271.61125410441309214 -1568609.30706091457977891)","2981",3465071.6112541,-1568409.30706091,3465471.6112541,-1568809.30706091,3465271.611,-1568609.307,160000,0.114957719694374
"1031","Point (3465271.61125410441309214 -1568209.30706091457977891)","2980",3465071.6112541,-1568009.30706091,3465471.6112541,-1568409.30706091,3465271.611,-1568209.307,160000,0.111218662809121
"1032","Point (3465671.61125410441309214 -1549809.30706091457977891)","3037",3465471.6112541,-1549609.30706091,3465871.6112541,-1550009.30706091,3465671.611,-1549809.307,160000,0.0904223983702263
"1033","Point (3465671.61125410441309214 -1549409.30706091457977891)","3036",3465471.6112541,-1549209.30706091,3465871.6112541,-1549609.30706091,3465671.611,-1549409.307,160000,0.170463697502815
"1034","Point (3465671.61125410441309214 -1549009.30706091457977891)","3035",3465471.6112541,-1548809.30706091,3465871.6112541,-1549209.30706091,3465671.611,-1549009.307,160000,0.318568144489936
"1035","Point (3465671.61125410441309214 -1548609.30706091457977891)","3034",3465471.6112541,-1548409.30706091,3465871.6112541,-1548809.30706091,3465671.611,-1548609.307,160000,0.571141148913169
"1036","Point (3465671.61125410441309214 -1548209.30706091457977891)","3033",3465471.6112541,-1548009.30706091,3465871.6112541,-1548409.30706091,3465671.611,-1548209.307,160000,0.961475538056545
"1037","Point (3465671.61125410441309214 -1547809.30706091457977891)","3032",3465471.6112541,-1547609.30706091,3465871.6112541,-1548009.30706091,3465671.611,-1547809.307,160000,1.50122099226343
"1038","Point (3465671.61125410441309214 -1547409.30706091457977891)","3031",3465471.6112541,-1547209.30706091,3465871.6112541,-1547609.30706091,3465671.611,-1547409.307,160000,2.16240858395818
"1039","Point (3465671.61125410441309214 -1547009.30706091457977891)","3030",3465471.6112541,-1546809.30706091,3465871.6112541,-1547209.30706091,3465671.611,-1547009.307,160000,2.87349964444279
"1040","Point (3465271.61125410441309214 -1564609.30706091457977891)","2971",3465071.6112541,-1564409.30706091,3465471.6112541,-1564809.30706091,3465271.611,-1564609.307,160000,0.0550424954083244
"1041","Point (3465271.61125410441309214 -1564209.30706091457977891)","2970",3465071.6112541,-1564009.30706091,3465471.6112541,-1564409.30706091,3465271.611,-1564209.307,160000,0.0491377664906538
"1042","Point (3465271.61125410441309214 -1563809.30706091457977891)","2969",3465071.6112541,-1563609.30706091,3465471.6112541,-1564009.30706091,3465271.611,-1563809.307,160000,0.0441023513849442
"1043","Point (3465271.61125410441309214 -1563409.30706091457977891)","2968",3465071.6112541,-1563209.30706091,3465471.6112541,-1563609.30706091,3465271.611,-1563409.307,160000,0.0401837487321988
"1044","Point (3465271.61125410441309214 -1563009.30706091457977891)","2967",3465071.6112541,-1562809.30706091,3465471.6112541,-1563209.30706091,3465271.611,-1563009.307,160000,0.0376563804777735
"1045","Point (3465271.61125410441309214 -1562609.30706091457977891)","2966",3465071.6112541,-1562409.30706091,3465471.6112541,-1562809.30706091,3465271.611,-1562609.307,160000,0.0368925898225411
"1046","Point (3465271.61125410441309214 -1562209.30706091457977891)","2965",3465071.6112541,-1562009.30706091,3465471.6112541,-1562409.30706091,3465271.611,-1562209.307,160000,0.03854870871292
"1047","Point (3465271.61125410441309214 -1561809.30706091457977891)","2964",3465071.6112541,-1561609.30706091,3465471.6112541,-1562009.30706091,3465271.611,-1561809.307,160000,0.0440718445636136
"1048","Point (3465271.61125410441309214 -1567809.30706091457977891)","2979",3465071.6112541,-1567609.30706091,3465471.6112541,-1568009.30706091,3465271.611,-1567809.307,160000,0.106731282209073
"1049","Point (3465271.61125410441309214 -1567409.30706091457977891)","2978",3465071.6112541,-1567209.30706091,3465471.6112541,-1567609.30706091,3465271.611,-1567409.307,160000,0.101539002928876
"1050","Point (3465271.61125410441309214 -1567009.30706091457977891)","2977",3465071.6112541,-1566809.30706091,3465471.6112541,-1567209.30706091,3465271.611,-1567009.307,160000,0.0957117797721139
"1051","Point (3465271.61125410441309214 -1566609.30706091457977891)","2976",3465071.6112541,-1566409.30706091,3465471.6112541,-1566809.30706091,3465271.611,-1566609.307,160000,0.0893486294827231
"1052","Point (3465271.61125410441309214 -1566209.30706091457977891)","2975",3465071.6112541,-1566009.30706091,3465471.6112541,-1566409.30706091,3465271.611,-1566209.307,160000,0.082579155027934
"1053","Point (3465271.61125410441309214 -1565809.30706091457977891)","2974",3465071.6112541,-1565609.30706091,3465471.6112541,-1566009.30706091,3465271.611,-1565809.307,160000,0.0755635628494657
"1054","Point (3465271.61125410441309214 -1565409.30706091457977891)","2973",3465071.6112541,-1565209.30706091,3465471.6112541,-1565609.30706091,3465271.611,-1565409.307,160000,0.0684906608322913
"1055","Point (3465271.61125410441309214 -1565009.30706091457977891)","2972",3465071.6112541,-1564809.30706091,3465471.6112541,-1565209.30706091,3465271.611,-1565009.307,160000,0.0615734662029578
"1056","Point (3465671.61125410441309214 -1559409.30706091457977891)","3061",3465471.6112541,-1559209.30706091,3465871.6112541,-1559609.30706091,3465671.611,-1559409.307,160000,0.433294921624109
"1057","Point (3465671.61125410441309214 -1559009.30706091457977891)","3060",3465471.6112541,-1558809.30706091,3465871.6112541,-1559209.30706091,3465671.611,-1559009.307,160000,0.582617067934343
"1058","Point (3465671.61125410441309214 -1558609.30706091457977891)","3059",3465471.6112541,-1558409.30706091,3465871.6112541,-1558809.30706091,3465671.611,-1558609.307,160000,0.702424252918675
"1059","Point (3465671.61125410441309214 -1558209.30706091457977891)","3058",3465471.6112541,-1558009.30706091,3465871.6112541,-1558409.30706091,3465671.611,-1558209.307,160000,0.754526192693072
"1060","Point (3465671.61125410441309214 -1557809.30706091457977891)","3057",3465471.6112541,-1557609.30706091,3465871.6112541,-1558009.30706091,3465671.611,-1557809.307,160000,0.723695088904161
"1061","Point (3465671.61125410441309214 -1557409.30706091457977891)","3056",3465471.6112541,-1557209.30706091,3465871.6112541,-1557609.30706091,3465671.611,-1557409.307,160000,0.624752975903219
"1062","Point (3465671.61125410441309214 -1557009.30706091457977891)","3055",3465471.6112541,-1556809.30706091,3465871.6112541,-1557209.30706091,3465671.611,-1557009.307,160000,0.491379986795023
"1063","Point (3465671.61125410441309214 -1556609.30706091457977891)","3054",3465471.6112541,-1556409.30706091,3465871.6112541,-1556809.30706091,3465671.611,-1556609.307,160000,0.357669786081795
"1064","Point (3465671.61125410441309214 -1562609.30706091457977891)","3069",3465471.6112541,-1562409.30706091,3465871.6112541,-1562809.30706091,3465671.611,-1562609.307,160000,0.0302547966355287
"1065","Point (3465671.61125410441309214 -1562209.30706091457977891)","3068",3465471.6112541,-1562009.30706091,3465871.6112541,-1562409.30706091,3465671.611,-1562209.307,160000,0.0329150698799248
"1066","Point (3465671.61125410441309214 -1561809.30706091457977891)","3067",3465471.6112541,-1561609.30706091,3465871.6112541,-1562009.30706091,3465671.611,-1561809.307,160000,0.0389243010332888
"1067","Point (3465671.61125410441309214 -1561409.30706091457977891)","3066",3465471.6112541,-1561209.30706091,3465871.6112541,-1561609.30706091,3465671.611,-1561409.307,160000,0.0510682226640881
"1068","Point (3465671.61125410441309214 -1561009.30706091457977891)","3065",3465471.6112541,-1560809.30706091,3465871.6112541,-1561209.30706091,3465671.611,-1561009.307,160000,0.0743211673356936
"1069","Point (3465671.61125410441309214 -1560609.30706091457977891)","3064",3465471.6112541,-1560409.30706091,3465871.6112541,-1560809.30706091,3465671.611,-1560609.307,160000,0.116586830313442
"1070","Point (3465671.61125410441309214 -1560209.30706091457977891)","3063",3465471.6112541,-1560009.30706091,3465871.6112541,-1560409.30706091,3465671.611,-1560209.307,160000,0.187313092162767
"1071","Point (3465671.61125410441309214 -1559809.30706091457977891)","3062",3465471.6112541,-1559609.30706091,3465871.6112541,-1560009.30706091,3465671.611,-1559809.307,160000,0.293979143300232
"1072","Point (3465671.61125410441309214 -1553009.30706091457977891)","3045",3465471.6112541,-1552809.30706091,3465871.6112541,-1553209.30706091,3465671.611,-1553009.307,160000,0.0126165843660067
"1073","Point (3465671.61125410441309214 -1552609.30706091457977891)","3044",3465471.6112541,-1552409.30706091,3465871.6112541,-1552809.30706091,3465671.611,-1552609.307,160000,0.0110847150173036
"1074","Point (3465671.61125410441309214 -1552209.30706091457977891)","3043",3465471.6112541,-1552009.30706091,3465871.6112541,-1552409.30706091,3465671.611,-1552209.307,160000,0.0107205540761291
"1075","Point (3465671.61125410441309214 -1551809.30706091457977891)","3042",3465471.6112541,-1551609.30706091,3465871.6112541,-1552009.30706091,3465671.611,-1551809.307,160000,0.011533828355642
"1076","Point (3465671.61125410441309214 -1551409.30706091457977891)","3041",3465471.6112541,-1551209.30706091,3465871.6112541,-1551609.30706091,3465671.611,-1551409.307,160000,0.0139368078204665
"1077","Point (3465671.61125410441309214 -1551009.30706091457977891)","3040",3465471.6112541,-1550809.30706091,3465871.6112541,-1551209.30706091,3465671.611,-1551009.307,160000,0.0190688065939136
"1078","Point (3465671.61125410441309214 -1550609.30706091457977891)","3039",3465471.6112541,-1550409.30706091,3465871.6112541,-1550809.30706091,3465671.611,-1550609.307,160000,0.0293541141445467
"1079","Point (3465671.61125410441309214 -1550209.30706091457977891)","3038",3465471.6112541,-1550009.30706091,3465871.6112541,-1550409.30706091,3465671.611,-1550209.307,160000,0.0496846470994325
"1080","Point (3465671.61125410441309214 -1556209.30706091457977891)","3053",3465471.6112541,-1556009.30706091,3465871.6112541,-1556409.30706091,3465671.611,-1556209.307,160000,0.245332445064854
"1081","Point (3465671.61125410441309214 -1555809.30706091457977891)","3052",3465471.6112541,-1555609.30706091,3465871.6112541,-1556009.30706091,3465671.611,-1555809.307,160000,0.161631740457581
"1082","Point (3465671.61125410441309214 -1555409.30706091457977891)","3051",3465471.6112541,-1555209.30706091,3465871.6112541,-1555609.30706091,3465671.611,-1555409.307,160000,0.104255298036259
"1083","Point (3465671.61125410441309214 -1555009.30706091457977891)","3050",3465471.6112541,-1554809.30706091,3465871.6112541,-1555209.30706091,3465671.611,-1555009.307,160000,0.067070991948377
"1084","Point (3465671.61125410441309214 -1554609.30706091457977891)","3049",3465471.6112541,-1554409.30706091,3465871.6112541,-1554809.30706091,3465671.611,-1554609.307,160000,0.0438019723206728
"1085","Point (3465671.61125410441309214 -1554209.30706091457977891)","3048",3465471.6112541,-1554009.30706091,3465871.6112541,-1554409.30706091,3465671.611,-1554209.307,160000,0.0295196342963484
"1086","Point (3465671.61125410441309214 -1553809.30706091457977891)","3047",3465471.6112541,-1553609.30706091,3465871.6112541,-1554009.30706091,3465671.611,-1553809.307,160000,0.0208429195227641
"1087","Point (3465671.61125410441309214 -1553409.30706091457977891)","3046",3465471.6112541,-1553209.30706091,3465871.6112541,-1553609.30706091,3465671.611,-1553409.307,160000,0.0156336104542386
"1088","Point (3465237.06710340548306704 -1545422.01401264662854373)","2923",3465071.6112541,-1545209.30706091,3465471.6112541,-1545609.30706091,3465237.067,-1545422.014,160000,4.4492514538017
"1089","Point (3465166.05232987692579627 -1545112.10061386367306113)","2922",3465071.6112541,-1544809.30706091,3465471.6112541,-1545209.30706091,3465166.052,-1545112.101,160000,4.53189124373144
"1090","Point (3465055.95089166145771742 -1570414.36668425868265331)","2883",3464671.6112541,-1570409.30706091,3465071.6112541,-1570809.30706091,3465055.951,-1570414.367,160000,0.153583687902222
"1091","Point (3464933.27620675042271614 -1570182.23764026840217412)","2882",3464671.6112541,-1570009.30706091,3465071.6112541,-1570409.30706091,3464933.276,-1570182.238,160000,0.175010355032893
"1092","Point (3464876.17527480376884341 -1569805.13771912176162004)","2881",3464671.6112541,-1569609.30706091,3465071.6112541,-1570009.30706091,3464876.175,-1569805.138,160000,0.185594384564127
"1093","Point (3464871.61125410441309214 -1569409.30706091457977891)","2880",3464671.6112541,-1569209.30706091,3465071.6112541,-1569609.30706091,3464871.611,-1569409.307,160000,0.18500618458856
"1094","Point (3464873.64139859797433019 -1569011.22417060798034072)","2879",3464671.6112541,-1568809.30706091,3465071.6112541,-1569209.30706091,3464873.641,-1569011.224,160000,0.181919111894225
"1095","Point (3464920.25187392346560955 -1568621.52486113039776683)","2878",3464671.6112541,-1568409.30706091,3465071.6112541,-1568809.30706091,3464920.252,-1568621.525,160000,0.169119681989521
"1096","Point (3465271.61125410441309214 -1548609.30706091457977891)","2931",3465071.6112541,-1548409.30706091,3465471.6112541,-1548809.30706091,3465271.611,-1548609.307,160000,0.50215816655768
"1097","Point (3465271.61125410441309214 -1548209.30706091457977891)","2930",3465071.6112541,-1548009.30706091,3465471.6112541,-1548409.30706091,3465271.611,-1548209.307,160000,0.83892759886695
"1098","Point (3465271.61125410441309214 -1547809.30706091457977891)","2929",3465071.6112541,-1547609.30706091,3465471.6112541,-1548009.30706091,3465271.611,-1547809.307,160000,1.313566936202
"1099","Point (3465271.61125410441309214 -1547409.30706091457977891)","2928",3465071.6112541,-1547209.30706091,3465471.6112541,-1547609.30706091,3465271.611,-1547409.307,160000,1.91266372830754
"1100","Point (3465271.61125410441309214 -1547009.30706091457977891)","2927",3465071.6112541,-1546809.30706091,3465471.6112541,-1547209.30706091,3465271.611,-1547009.307,160000,2.58385140609376
"1101","Point (3465237.16383754415437579 -1546653.78378294222056866)","2926",3465071.6112541,-1546409.30706091,3465471.6112541,-1546809.30706091,3465237.164,-1546653.784,160000,3.1547593156811
"1102","Point (3465141.72042590752243996 -1546173.09911271766759455)","2925",3465071.6112541,-1546009.30706091,3465471.6112541,-1546409.30706091,3465141.72,-1546173.099,160000,3.79262762434629
"1103","Point (3465237.97890672413632274 -1545793.50127731403335929)","2924",3465071.6112541,-1545609.30706091,3465471.6112541,-1546009.30706091,3465237.979,-1545793.501,160000,4.22256570238309
