Transect.Label;Sample.Label;x;y
12;12-2;3460210,951;-1557241,937
12;12-3;3460306,022;-1557583,863
12;12-4;3460258,470;-1557945,576
12;12-5;3460012,452;-1558213,208
12;12-6;3460267,468;-1558476,043
12;12-7;3460510,526;-1558768,132
12;12-8;3460738,322;-1559027,380
13;13-1;3459023,225;-1549059,210
13;13-2;3458854,429;-1549307,400
13;13-3;3458505,452;-1549209,390
13;13-4;3458295,382;-1549398,960
13;13-5;3457831,030;-1549219,490
13;13-6;3457466,345;-1549082,190
13;13-7;3457183,371;-1548816,040
13;13-8;3457187,028;-1548428,240
13;13-9;3457028,001;-1548102,620
13;13-10;3456818,530;-1547815,610
13;13-11;3456512,766;-1547718,580
13;13-12;3456134,490;-1547815,360
13;13-13;3455799,574;-1547916,040
13;13-14;3455509,783;-1548166,320
13;13-15;3455304,638;-1548467,940
13;13-16;3455028,422;-1548699,620
13;13-17;3454904,609;-1549014,080
13;13-18;3454756,799;-1549352,460
13;13-19;3454759,756;-1549718,300
13;13-20;3454623,934;-1549964,170
13;13-21;3454350,521;-1550204,310
13;13-22;3454248,255;-1550580,320
13;13-23;3454413,906;-1550904,690
13;13-24;3454514,965;-1551227,470
13;13-25;3454781,800;-1551444,130
13;13-26;3455155,034;-1551510,800
13;13-27;3455475,706;-1551452,870
13;13-28;3455734,921;-1551667,910
13;13-29;3455739,814;-1552058,340
13;13-30;3456079,573;-1552248,950
13;13-31;3456251,547;-1552545,280
13;13-32;3456311,940;-1552920,600
13;13-33;3456234,612;-1553278,350
13;13-34;3456565,065;-1553487,000
13;13-35;3456923,321;-1553517,190
13;13-36;3457202,833;-1553288,390
13;13-37;3457191,997;-1552921,640
13;13-38;3457095,007;-1552550,230
13;13-39;3456914,131;-1552218,440
13;13-40;3456813,545;-1551850,060
13;13-41;3456763,939;-1551489,480
13;13-42;3456603,242;-1551134,850
13;13-43;3456364,975;-1550834,700
13;13-44;3456058,876;-1550800,650
13;13-45;3455794,934;-1550522,130
13;13-46;3455476,647;-1550354,900
13;13-47;3455227,828;-1550092,110
13;13-48;3455141,455;-1549770,730
14;14-1;3464520,112;-1550419,688
14;14-2;3464848,168;-1550631,875
14;14-3;3465164,932;-1550836,034
14;14-4;3465512,766;-1551074,520
14;14-5;3465846,969;-1551302,516
14;14-6;3466206,023;-1551493,670
14;14-7;3466483,935;-1551754,937
14;14-8;3466854,462;-1551877,019
14;14-9;3467237,494;-1551838,241
14;14-10;3467553,884;-1552042,259
14;14-11;3467925,269;-1552148,891
14;14-12;3468273,013;-1552298,470
14;14-13;3468592,461;-1552505,324
14;14-14;3468952,543;-1552625,731
14;14-15;3469338,169;-1552658,103
14;14-16;3469711,108;-1552777,961
14;14-17;3470093,901;-1552754,830
14;14-18;3470434,665;-1552843,515
14;14-19;3470767,896;-1552855,922
14;14-20;3471111,519;-1553039,987
14;14-21;3471420,804;-1553247,197
14;14-22;3471758,000;-1553415,786
14;14-23;3471976,980;-1553571,682
15;15-1;3472023,871;-1553671,430
15;15-2;3471995,843;-1553949,240
15;15-3;3471851,793;-1554245,210
15;15-4;3471584,581;-1554169,210
15;15-5;3471262,280;-1554356,030
15;15-6;3471098,314;-1554680,950
15;15-7;3470844,900;-1554907,770
15;15-8;3470773,133;-1555273,330
15;15-9;3470691,254;-1555632,920
15;15-10;3470571,995;-1555985,530
15;15-11;3470434,972;-1556349,340
15;15-12;3470128,085;-1556523,020
15;15-13;3469998,000;-1556858,050
15;15-14;3469927,554;-1557202,160
15;15-15;3469890,295;-1557558,280
15;15-16;3469746,351;-1557922,200
15;15-17;3469516,289;-1558183,350
15;15-18;3469189,756;-1558376,330
15;15-19;3468925,906;-1558646,600
15;15-20;3468614,704;-1558738,490
15;15-21;3468269,701;-1558688,880
15;15-22;3467895,203;-1558731,330
15;15-23;3467535,855;-1558791,440
15;15-24;3467167,092;-1558881,240
15;15-25;3467005,312;-1559207,660
15;15-26;3466865,693;-1559571,320
15;15-27;3466730,487;-1560293,860
15;15-28;3466701,746;-1559906,040
15;15-29;3466615,442;-1560637,510
15;15-30;3466363,521;-1560931,480
15;15-31;3466019,756;-1560948,100
15;15-32;3465991,414;-1561187,180
15;15-33;3465904,455;-1561424,320
15;15-34;3465693,899;-1561660,530
15;15-35;3465376,046;-1561831,830
